"Index","MethodName","MethodSignature","LOC","CyclomaticComplexity","Churn","LocAdded","fan-in","fan-out","NewcomerRisk","Auth","WeekendCommit","nSmell","isBuggy"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::closeHandle","()","3","1","179","168","0","1","1.0","2","0","0","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::writeSameEntryBatch","(byte[], int)","14","2","172","171","0","5","1.0","2","0","3","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::writeSameEntry","(byte[], int)","11","2","172","171","0","4","1.0","2","0","2","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::getFreshEntryId","(int)","7","1","256","254","0","1","1.0","2","0","0","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::removeEntryId","(Integer)","14","3","264","258","0","5","1.0","2","0","3","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::closeHandle","()","3","1","254","253","0","1","1.0","1","0","0","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeSameEntryBatch","(byte[], int)","16","3","260","256","0","6","1.0","2","0","4","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeConsecutiveEntriesBatch","(int)","25","3","284","266","0","9","1.0","2","0","3","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeSameEntryBatchFS","(byte[], int)","16","2","276","262","0","7","1.0","2","0","2","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::addComplete","(int, LedgerHandle, long, Object)","4","1","256","254","0","1","1.0","2","0","0","No"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::readComplete","(int, LedgerHandle, Enumeration<LedgerEntry>, Object)","11","2","264","259","0","6","1.0","2","0","2","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run","()","68","8","80","66","0","18","1.0","3","0","1","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept","(long)","8","2","46","45","0","0","1.0","2","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::shutdown","()","9","2","88","71","0","3","1.0","3","0","0","Yes"
